Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/4/2018,18,1,N,HB_HOUSTON,HU,40.85
Jan,1/4/2018,18,2,N,HB_HOUSTON,HU,43.37
Jan,1/4/2018,18,3,N,HB_HOUSTON,HU,47.55
Jan,1/4/2018,18,4,N,HB_HOUSTON,HU,53.46
Jan,1/4/2018,19,1,N,HB_HOUSTON,HU,48.01
Jan,1/4/2018,19,2,N,HB_HOUSTON,HU,47.35
Jan,1/4/2018,19,3,N,HB_HOUSTON,HU,44.51
Jan,1/4/2018,19,4,N,HB_HOUSTON,HU,42.99
Jan,1/4/2018,20,1,N,HB_HOUSTON,HU,40.95
Jan,1/4/2018,20,2,N,HB_HOUSTON,HU,40.91
Jan,1/4/2018,20,3,N,HB_HOUSTON,HU,41.11
Jan,1/4/2018,20,4,N,HB_HOUSTON,HU,39.23
Jan,1/4/2018,21,1,N,HB_HOUSTON,HU,39.3
Jan,1/4/2018,21,2,N,HB_HOUSTON,HU,37.35
Jan,1/4/2018,21,3,N,HB_HOUSTON,HU,37.08
Jan,1/4/2018,21,4,N,HB_HOUSTON,HU,35.05
Jan,1/4/2018,22,1,N,HB_HOUSTON,HU,34.23
Jan,1/4/2018,22,2,N,HB_HOUSTON,HU,34.17
Jan,1/4/2018,22,3,N,HB_HOUSTON,HU,36.37
Jan,1/4/2018,22,4,N,HB_HOUSTON,HU,35.63
Jan,1/4/2018,23,1,N,HB_HOUSTON,HU,36.71
Jan,1/4/2018,23,2,N,HB_HOUSTON,HU,30.49
Jan,1/4/2018,23,3,N,HB_HOUSTON,HU,25.83
Jan,1/4/2018,23,4,N,HB_HOUSTON,HU,21.2
Jan,1/4/2018,24,1,N,HB_HOUSTON,HU,20.84
Jan,1/4/2018,24,2,N,HB_HOUSTON,HU,19.97
Jan,1/4/2018,24,3,N,HB_HOUSTON,HU,19.57
Jan,1/4/2018,24,4,N,HB_HOUSTON,HU,19.13
Jan,1/5/2018,1,1,N,HB_HOUSTON,HU,19.53
Jan,1/5/2018,1,2,N,HB_HOUSTON,HU,19.83
Jan,1/5/2018,1,3,N,HB_HOUSTON,HU,19.54
Jan,1/5/2018,1,4,N,HB_HOUSTON,HU,19.54
Jan,1/5/2018,2,1,N,HB_HOUSTON,HU,19.49
Jan,1/5/2018,2,2,N,HB_HOUSTON,HU,19.41
Jan,1/5/2018,2,3,N,HB_HOUSTON,HU,19.18
Jan,1/5/2018,2,4,N,HB_HOUSTON,HU,19.45
Jan,1/5/2018,3,1,N,HB_HOUSTON,HU,19.8
Jan,1/5/2018,3,2,N,HB_HOUSTON,HU,20.39
Jan,1/5/2018,3,3,N,HB_HOUSTON,HU,20.42
Jan,1/5/2018,3,4,N,HB_HOUSTON,HU,20.59
Jan,1/5/2018,4,1,N,HB_HOUSTON,HU,21.03
Jan,1/5/2018,4,2,N,HB_HOUSTON,HU,20.86
